Kc_s,mu_max,Yxs,Yxp,Yxco2,F0,mu0,s_f,Ki_p,sample_volume,p,timestamp,m_Glucose,m_Biomass,m_Product,m_CO2,v_Volume,v_Feed_accum,c_Glucose,c_Biomass,c_Product,c_CO2,c_Volume,c_Feed,mu_true
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.15903053825334923,0.1,100.0,2.0,NaN,"[0.15, 0.3, 1.85, 0.8215102466751038, 0.04519333244521413, 0.15903053825334923, 0.1, 100.0, 2.0]",0.0,75.0,500.0,0.0,0.0,1000.0,0.0,0.075,0.5,0.0,0.0,1.0,0.0,0.1
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.15903053825334923,0.1,100.0,2.0,NaN,"[0.15, 0.3, 1.85, 0.8215102466751038, 0.04519333244521413, 0.15903053825334923, 0.1, 100.0, 2.0]",0.06006006006006006,75.00757561346705,503.0102049100136,2.47291417816785,0.13604119122645886,1000.0557645469698,0.0557645469699217,0.07500339308323056,0.5029821563379315,0.002472776284918564,0.0001360336053740825,1.0,5.576143745862343e-5,0.09987952616667296
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.15903053825334923,0.1,100.0,2.0,NaN,"[0.15, 0.3, 1.85, 0.8215102466751038, 0.04519333244521413, 0.15903053825334923, 0.1, 100.0, 2.0]",0.12012012012012012,75.02183213589167,506.0349568961738,4.957778928449337,0.2727398133013191,1000.111865023938,0.11186502393813194,0.07501344075554588,0.5059783556153108,0.00495722438842446,0.00027270930666820054,1.0,0.0001118525115542494,0.09976466870021927
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.15903053825334923,0.1,100.0,2.0,NaN,"[0.15, 0.3, 1.85, 0.8215102466751038, 0.04519333244521413, 0.15903053825334923, 0.1, 100.0, 2.0]",0.18018018018018017,75.0425775963323,509.07446911301685,7.454769359480021,0.41010549938839447,1000.168303454554,0.1683034545541336,0.07502994979658652,0.5089888045388836,0.007453514907172574,0.000410036488830831,1.0,0.00016827513326788906,0.09965522763583574
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.15903053825334923,0.1,100.0,2.0,NaN,"[0.15, 0.3, 1.85, 0.8215102466751038, 0.04519333244521413, 0.15903053825334923, 0.1, 100.0, 2.0]",0.24024024024024024,75.06962498526104,512.1289526941428,9.964058919675818,0.5481477913186659,1000.2250818746942,0.2250818746942502,0.07505273197564705,0.512013707688947,0.00996181669529868,0.0005480244409501186,1.0,0.00022503122424443253,0.09955100744051004
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.15903053825334923,0.1,100.0,2.0,NaN,"[0.15, 0.3, 1.85, 0.8215102466751038, 0.04519333244521413, 0.15903053825334923, 0.1, 100.0, 2.0]",0.3003003003003003,75.10279204377618,515.1986168678286,12.485819492210293,0.6868761448152189,1000.2822023324925,0.28220233249259175,0.07508160384004524,0.5150532676343443,0.01248229695889363,0.0006866823614511359,1.0,0.00028212271680386056,0.09945181689256946
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.15903053825334923,0.1,100.0,2.0,NaN,"[0.15, 0.3, 1.85, 0.8215102466751038, 0.04519333244521413, 0.15903053825334923, 0.1, 100.0, 2.0]",0.36036036036036034,75.14189893906791,518.2836702250743,15.020222436726987,0.8262999868004435,1000.3396668885545,0.33966688855455274,0.07511638439050253,0.5181076861993668,0.01501512229685515,0.000826019415355744,1.0,0.00033955155413465597,0.09935746704741179
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.15903053825334923,0.1,100.0,2.0,NaN,"[0.15, 0.3, 1.85, 0.8215102466751038, 0.04519333244521413, 0.15903053825334923, 0.1, 100.0, 2.0]",0.42042042042042044,75.18677483890177,521.3843171455987,17.56743565325947,0.9664285538749366,1000.3974776155825,0.3974776155825946,0.07515690165283823,0.521177160890392,0.017560455765173386,0.000966044572781601,1.0,0.0003973196898996293,0.09926777724124945
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.15903053825334923,0.1,100.0,2.0,NaN,"[0.15, 0.3, 1.85, 0.8215102466751038, 0.04519333244521413, 0.15903053825334923, 0.1, 100.0, 2.0]",0.4804804804804805,75.23725543422584,524.5007591586091,20.12762470011627,1.1072709538151462,1000.4556365987764,0.455636598776527,0.0752029901995535,0.5242618862558873,0.020118457994343104,0.0011067666704137997,1.0,0.00045542908861560637,0.09918257288125566
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.15903053825334923,0.1,100.0,2.0,NaN,"[0.15, 0.3, 1.85, 0.8215102466751038, 0.04519333244521413, 0.15903053825334923, 0.1, 100.0, 2.0]",0.5405405405405406,75.29318031578492,527.633196373828,22.700953969485063,1.248836230246297,1000.5141459360736,0.5141459360736683,0.0752544885263378,0.5273620553162477,0.022689288364080268,0.0012481944761289657,1.0,0.0005138817258726883,0.09910168312023872
